Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;;;;
2024;0000BL;1; 42.200 ;;;;
2024;1016GR;1; 150.100 ;;;;
2024;1023CD;1; 180.000 ;;;;
2024;1027AH;1; 48.500 ;;;;
2024;1028AZ;1; 20.000 ;;;;
2024;1028BA;1; 581.200 ;;;;
2024;1047AZ;1; 23.051.400 ;;;;
2024;1054GT;1; 633.600 ;;;;
2024;1063VN;1; 29.000 ;;;;
2024;1066CA;1; 543.500 ;;;;
2024;1067PJ;1; 157.000 ;;;;
2024;1067TH;1; 226.800 ;;;;
2024;1083HP;1; 157.000 ;;;;
2024;1096CR;1; 414.890 ;;;;
2024;1103SB;1; 612.500 ;;;;
2024;1108AZ;1; 272.500 ;;;;
2024;1108BM;1; 15.000 ;;;;
2024;1109BN;1; 219.900 ;;;;
2024;1111HP;1; 625.840 ;;;;
2024;1111PP;1; 143.000 ;;;;
2024;1121NM;1; 264.200 ;;;;
2024;1121NW;1; 641.500 ;;;;
2024;1127PM;1; 223.000 ;;;;
2024;1141HH;1; 196.100 ;;;;
2024;1141PD;1; 75.900 ;;;;
2024;1151EC;1; 240.000 ;;;;
2024;1151ED;1; 532.700 ;;;;
2024;1153PK;1; 399.200 ;;;;
2024;1161GG;1; 10.900 ;;;;
2024;1165MX;1; 885.300 ;;;;
2024;1171RC;1; 185.000 ;;;;
2024;1175KC;1; 350.000 ;;;;
2024;1175KM;1; 33.000 ;;;;
2024;1175KX;1; 41.500 ;;;;
2024;1182AA;1; 547.860 ;;;;
2024;1182AC;1; 1.180.200 ;;;;
2024;1183TA;1; 300.400 ;;;;
2024;1183TK;1; 14.000 ;;;;
2024;1183TP;1; 96.800 ;;;;
2024;1187ZT;1; 220.300 ;;;;
2024;1187ZV;1; 196.000 ;;;;
2024;1188VJ;1; 858.100 ;;;;
2024;1188XJ;1; 279.700 ;;;;
2024;1191KK;1; 1.632.880 ;;;;
2024;1191KM;1; 273.500 ;;;;
2024;1191KN;1; 195.000 ;;;;
2024;1191LG;1; 226.300 ;;;;
2024;1213RM;2; 874.000 ;;;;
2024;1213TR;1; 738.100 ;;;;
2024;1218XX;1; 153.800 ;;;;
2024;1222ZZ;1; 369.000 ;;;;
2024;1223LX;1; 8.800 ;;;;
2024;1231KR;1; 1.127.400 ;;;;
2024;1231KZ;1; 792.400 ;;;;
2024;1251CJ;1; 738.000 ;;;;
2024;1261TJ;1; 30.000 ;;;;
2024;1261TP;1; 37.500 ;;;;
2024;1309BB;1; 679.700 ;;;;
2024;1311PA;1; 732.100 ;;;;
2024;1333ZR;1; 621.500 ;;;;
2024;1338GA;1; 1.148.700 ;;;;
2024;1358BP;1; 245.600 ;;;;
2024;1381GZ;1; 60.070 ;;;;
2024;1381HH;1; 562.500 ;;;;
2024;1391GT;1; 1.027.600 ;;;;
2024;1391HJ;1; 508.900 ;;;;
2024;1391HM;1; 131.200 ;;;;
2024;1391HN;1; 60.160 ;;;;
2024;1391HW;1; 5.000 ;;;;
2024;1391JH;1; 134.000 ;;;;
2024;1391KP;1; 321.900 ;;;;
2024;1393PJ;1; 630.100 ;;;;
2024;1394AB;2; 1.588.500 ;;;;
2024;1398PC;1; 9.000 ;;;;
2024;1398PE;1; 119.600 ;;;;
2024;1399EP;1; 1.419.500 ;;;;
2024;1411AX;1; 52.200 ;;;;
2024;1423ST;1; 51.400 ;;;;
2024;1426RW;1; 248.600 ;;;;
2024;1431BM;1; 49.920 ;;;;
2024;1432BJ;2; 551.900 ;;;;
2024;1432BK;1; 950.400 ;;;;
2024;1432BL;3; 890.600 ;;;;
2024;1432CB;3; 5.653.200 ;;;;
2024;1432CD;1; 639.000 ;;;;
2024;1432CP;1; 197.500 ;;;;
2024;1435EK;1; 297.300 ;;;;
2024;1435GE;1; 54.100 ;;;;
2024;1446WJ;1; 33.000 ;;;;
2024;1447AB;1; 809.300 ;;;;
2024;1456NG;1; 1.363.300 ;;;;
2024;1456NH;2; 821.140 ;;;;
2024;1456NK;1; 817.300 ;;;;
2024;1456NM;1; 1.113.900 ;;;;
2024;1458PP;1; 199.000 ;;;;
2024;1461BN;1; 749.580 ;;;;
2024;1461DB;1; 10.000 ;;;;
2024;1461DR;3; 127.800 ;;;;
2024;1461DS;1; 190.700 ;;;;
2024;1461GB;1; 544.000 ;;;;
2024;1461HT;1; 34.320 ;;;;
2024;1461LC;1; 198.000 ;;;;
2024;1462HE;1; 96.000 ;;;;
2024;1462JR;1; 190.000 ;;;;
2024;1462LJ;1; 635.300 ;;;;
2024;1462LK;1; 342.000 ;;;;
2024;1462MG;1; 442.000 ;;;;
2024;1463HA;3; 765.620 ;;;;
2024;1463PG;1; 997.860 ;;;;
2024;1464GA;2; 643.600 ;;;;
2024;1464NA;1; 39.000 ;;;;
2024;1464NK;1; 136.000 ;;;;
2024;1471CB;1; 1.581.100 ;;;;
2024;1471CH;1; 733.800 ;;;;
2024;1472BD;1; 145.000 ;;;;
2024;1473PB;1; 109.620 ;;;;
2024;1473PP;1; 18.000 ;;;;
2024;1475JJ;1; 49.220 ;;;;
2024;1481AN;1; 145.500 ;;;;
2024;1488AB;1; 80.100 ;;;;
2024;1488AC;1; 584.980 ;;;;
2024;1488AG;1; 765.500 ;;;;
2024;1488AK;1; 216.980 ;;;;
2024;1511AP;1; 1.182.000 ;;;;
2024;1511GK;1; 284.080 ;;;;
2024;1531KE;1; 468.500 ;;;;
2024;1546LM;1; 673.700 ;;;;
2024;1551PG;1; 180.000 ;;;;
2024;1566AK;1; 19.280 ;;;;
2024;1566AP;1; 157.700 ;;;;
2024;1566AZ;1; 1.072.300 ;;;;
2024;1566NC;1; 14.000 ;;;;
2024;1566PH;1; 123.760 ;;;;
2024;1566PJ;1; 23.100 ;;;;
2024;1566PL;1; 139.000 ;;;;
2024;1566PN;1; 311.200 ;;;;
2024;1602DR;1; 641.400 ;;;;
2024;1606AB;1; 126.340 ;;;;
2024;1608HH;1; 793.700 ;;;;
2024;1608MA;1; 16.000 ;;;;
2024;1611BT;1; 332.000 ;;;;
2024;1613PG;1; 577.920 ;;;;
2024;1614LH;1; 23.000 ;;;;
2024;1619JE;2; 616.800 ;;;;
2024;1619PR;2; 275.500 ;;;;
2024;1645VK;1; 181.480 ;;;;
2024;1647AD;1; 87.800 ;;;;
2024;1647CB;1; 326.380 ;;;;
2024;1647MD;1; 180.000 ;;;;
2024;1647MR;1; 582.580 ;;;;
2024;1652PD;1; 95.200 ;;;;
2024;1654JN;1; 105.000 ;;;;
2024;1661BP;1; 9.980 ;;;;
2024;1676EL;1; 267.300 ;;;;
2024;1678HG;2; 384.100 ;;;;
2024;1684NH;1; 161.220 ;;;;
2024;1693HL;1; 101.120 ;;;;
2024;1695CG;1; 843.300 ;;;;
2024;1697KH;1; 125.940 ;;;;
2024;1702PD;1; 176.140 ;;;;
2024;1703DG;1; 40.140 ;;;;
2024;1703RV;1; 530.120 ;;;;
2024;1703RZ;2; 916.400 ;;;;
2024;1704BJ;1; 135.000 ;;;;
2024;1704DW;1; 263.000 ;;;;
2024;1704NA;1; 97.300 ;;;;
2024;1704PE;1; 166.926 ;;;;
2024;1713GG;1; 513.420 ;;;;
2024;1715GH;1; 432.660 ;;;;
2024;1718MP;1; 384.220 ;;;;
2024;1724PT;1; 885.500 ;;;;
2024;1733GJ;1; 228.830 ;;;;
2024;1733JC;1; 287.500 ;;;;
2024;1734JJ;1; 364.500 ;;;;
2024;1734MH;1; 141.280 ;;;;
2024;1735ES;1; 133.000 ;;;;
2024;1735EV;1; 78.000 ;;;;
2024;1735GG;1; 256.000 ;;;;
2024;1735JB;1; 147.000 ;;;;
2024;1738DL;1; 952.840 ;;;;
2024;1738DT;1; 10.322.414 ;;;;
2024;1742NW;1; 14.280 ;;;;
2024;1744GE;1; 188.200 ;;;;
2024;1744GK;1; 79.600 ;;;;
2024;1749AZ;1; 216.000 ;;;;
2024;1749DK;1; 287.000 ;;;;
2024;1751DD;1; 474.220 ;;;;
2024;1753BJ;1; 96.220 ;;;;
2024;1755;1; 24.520 ;;;;
2024;1759LD;1; 1.067.900 ;;;;
2024;1761JJ;1; 15.260 ;;;;
2024;1764AV;1; 3.552.000 ;;;;
2024;1767EJ;1; 248.000 ;;;;
2024;1768BT;1; 112.760 ;;;;
2024;1771AD;1; 126.900 ;;;;
2024;1775PJ;1; 498.500 ;;;;
2024;1789AC;1; 765.800 ;;;;
2024;1789AJ;1; 100.000 ;;;;
2024;1792CH;1; 130.606 ;;;;
2024;1797SB;1; 22.000 ;;;;
2024;1812RB;1; 600.780 ;;;;
2024;1815VX;1; 50.000 ;;;;
2024;1824EX;1; 96.200 ;;;;
2024;1840;1; 341.400 ;;;;
2024;1842EH;1; 68.000 ;;;;
2024;1846LE;1; 30.000 ;;;;
2024;1847LM;1; 273.020 ;;;;
2024;1851BA;1; 10.015 ;;;;
2024;1851LR;1; 123.300 ;;;;
2024;1851PM;1; 40.000 ;;;;
2024;1861KR;1; 30.100 ;;;;
2024;1861PH;1; 15.000 ;;;;
2024;1862PV;1; 147.300 ;;;;
2024;1871AH;1; 1.936.800 ;;;;
2024;1902RZ;1; 475.900 ;;;;
2024;1911LZ;1; 43.660 ;;;;
2024;1911NK;1; 450.000 ;;;;
2024;1911NL;1; 330.000 ;;;;
2024;1921AV;1; 7.000 ;;;;
2024;1934PC;1; 974.800 ;;;;
2024;1934PM;2; 414.000 ;;;;
2024;1934PN;1; 51.400 ;;;;
2024;1935BR;1; 278.580 ;;;;
2024;1935EZ;1; 807.280 ;;;;
2024;1942LD;1; 76.000 ;;;;
2024;1944NZ;1; 178.000 ;;;;
2024;1944PA;1; 448.300 ;;;;
2024;1945TT;1; 177.260 ;;;;
2024;1964KJ;1; 760.400 ;;;;
2024;1968LP;1; 113.000 ;;;;
2024;1969KP;1; 37.820 ;;;;
2024;1969ME;1; 69.000 ;;;;
2024;1969MT;1; 81.000 ;;;;
2024;1981LE;1; 806.200 ;;;;
2024;1981LM;1; 145.000 ;;;;
2024;1991JB;1; 49.000 ;;;;
2024;2013AS;1; 208.160 ;;;;
2024;2026BJ;1; 171.600 ;;;;
2024;2026VL;1; 93.000 ;;;;
2024;2031BL;1; 890.600 ;;;;
2024;2033AC;1; 528.000 ;;;;
2024;2041KM;1; 30.000 ;;;;
2024;2041XA;1; 635.300 ;;;;
2024;2064WJ;1; 109.400 ;;;;
2024;2071AN;1; 74.000 ;;;;
2024;2071LG;2; 1.296.000 ;;;;
2024;2105MB;1; 37.600 ;;;;
2024;2105MG;1; 9.020 ;;;;
2024;2114BC;1; 1.235.800 ;;;;
2024;2116GA;1; 1.063.900 ;;;;
2024;2131LR;1; 170.000 ;;;;
2024;2131LV;1; 295.000 ;;;;
2024;2131MT;1; 131.500 ;;;;
2024;2136LJ;1; 226.000 ;;;;
2024;2136LK;1; 438.500 ;;;;
2024;2136LR;1; 541.800 ;;;;
2024;2141BG;1; 372.700 ;;;;
2024;2141BH;1; 307.000 ;;;;
2024;2141BJ;2; 340.200 ;;;;
2024;2141BR;2; 368.980 ;;;;
2024;2141BS;3; 850.640 ;;;;
2024;2141EV;1; 226.600 ;;;;
2024;2142ES;1; 318.800 ;;;;
2024;2143CJ;1; 631.060 ;;;;
2024;2144KV;1; 1.239.600 ;;;;
2024;2152BL;1; 345.300 ;;;;
2024;2152NA;1; 1.360.520 ;;;;
2024;2153KC;1; 189.100 ;;;;
2024;2153KD;1; 101.800 ;;;;
2024;2153KE;1; 1.767.940 ;;;;
2024;2153KG;1; 129.200 ;;;;
2024;2153KH;1; 177.700 ;;;;
2024;2153LN;1; 130.000 ;;;;
2024;2153MD;1; 817.000 ;;;;
2024;2156MX;1; 30.100 ;;;;
2024;2157PB;1; 141.000 ;;;;
2024;2160;1; 342.800 ;;;;
2024;2161AM;1; 98.900 ;;;;
2024;2161KE;1; 146.600 ;;;;
2024;2162KL;1; 464.800 ;;;;
2024;2165AR;1; 1.304.000 ;;;;
2024;2171AL;1; 33.500 ;;;;
2024;2171BB;1; 1.055.900 ;;;;
2024;2181HB;1; 112.800 ;;;;
2024;2200;1; 586.400 ;;;;
2024;2201CZ;1; 78.700 ;;;;
2024;2201EZ;1; 598.780 ;;;;
2024;2201ZG;1; 103.100 ;;;;
2024;2202BZ;1; 68.600 ;;;;
2024;2202NG;1; 270.000 ;;;;
2024;2204AA;1; 93.700 ;;;;
2024;2204AP;1; 589.040 ;;;;
2024;2204AV;1; 155.100 ;;;;
2024;2211XM;1; 820.500 ;;;;
2024;2221BL;1; 666.200 ;;;;
2024;2223LA;2; 757.200 ;;;;
2024;2223LC;1; 1.099.900 ;;;;
2024;2231NR;1; 48.480 ;;;;
2024;2240;1; 949.820 ;;;;
2024;2241BG;3; 1.162.300 ;;;;
2024;2242;1; 487.160 ;;;;
2024;2242AA;1; 621.300 ;;;;
2024;2244BK;1; 284.200 ;;;;
2024;2244BN;1; 1.074.720 ;;;;
2024;2245AG;1; 167.000 ;;;;
2024;2245BG;1; 40.400 ;;;;
2024;2252AH;1; 274.000 ;;;;
2024;2253JA;1; 428.100 ;;;;
2024;2253NB;1; 258.600 ;;;;
2024;2254AL;1; 151.800 ;;;;
2024;2260;1; 1.618.600 ;;;;
2024;2264EG;1; 65.100 ;;;;
2024;2264TK;1; 526.000 ;;;;
2024;2265CL;1; 284.900 ;;;;
2024;2266GC;1; 272.400 ;;;;
2024;2266GG;1; 116.150 ;;;;
2024;2266GL;1; 48.500 ;;;;
2024;2266GM;2; 596.360 ;;;;
2024;2266HJ;1; 61.040 ;;;;
2024;2266HW;1; 1.032.000 ;;;;
2024;2286AD;1; 978.200 ;;;;
2024;2291HM;1; 258.200 ;;;;
2024;2300;1; 580.100 ;;;;
2024;2310;1; 713.730 ;;;;
2024;2317RH;1; 214.000 ;;;;
2024;2320;1; 295.800 ;;;;
2024;2323LC;1; 325.400 ;;;;
2024;2323LG;1; 120.000 ;;;;
2024;2328;1; 22.200 ;;;;
2024;2330;1; 485.800 ;;;;
2024;2333AL;1; 253.200 ;;;;
2024;2342AK;1; 198.490 ;;;;
2024;2353BZ;1; 622.000 ;;;;
2024;2361GC;1; 168.800 ;;;;
2024;2370;1; 78.300 ;;;;
2024;2374BW;2; 790.800 ;;;;
2024;2375NA;1; 874.120 ;;;;
2024;2376AX;1; 660.800 ;;;;
2024;2381;1; 84.400 ;;;;
2024;2381EM;1; 187.900 ;;;;
2024;2381EW;1; 33.988 ;;;;
2024;2381LG;1; 129.000 ;;;;
2024;2382;1; 503.200 ;;;;
2024;2382GZ;1; 301.000 ;;;;
2024;2390;1; 1.708.080 ;;;;
2024;2391AG;1; 360.460 ;;;;
2024;2391JE;1; 493.200 ;;;;
2024;2391MS;1; 2.270.000 ;;;;
2024;2391NS;1; 396.000 ;;;;
2024;2394AD;2; 1.343.000 ;;;;
2024;2401LP;1; 256.000 ;;;;
2024;2401LT;1; 150.000 ;;;;
2024;2402NH;1; 70.500 ;;;;
2024;2403NA;1; 685.000 ;;;;
2024;2407AB;1; 115.815 ;;;;
2024;2407BD;1; 16.440 ;;;;
2024;2411HZ;1; 330.000 ;;;;
2024;2411RD;1; 583.800 ;;;;
2024;2411RE;1; 106.000 ;;;;
2024;2411RG;1; 117.120 ;;;;
2024;2411RT;2; 544.500 ;;;;
2024;2411RX;1; 26.200 ;;;;
2024;2415BG;1; 707.400 ;;;;
2024;2421KZ;1; 161.200 ;;;;
2024;2421XW;1; 440.300 ;;;;
2024;2435NC;1; 74.800 ;;;;
2024;2435ND;1; 865.500 ;;;;
2024;2435NK;1; 151.900 ;;;;
2024;2440;1; 9.000 ;;;;
2024;2441GG;1; 528.000 ;;;;
2024;2445AA;1; 612.680 ;;;;
2024;2451BB;1; 459.100 ;;;;
2024;2460;1; 1.052.360 ;;;;
2024;2461BZ;1; 126.900 ;;;;
2024;2461CN;1; 789.600 ;;;;
2024;2461EJ;1; 62.300 ;;;;
2024;2461EW;1; 108.700 ;;;;
2024;2471XE;1; 165.000 ;;;;
2024;2481KE;2; 581.444 ;;;;
2024;2481KT;1; 70.300 ;;;;
2024;2481KX;1; 316.850 ;;;;
2024;2481NA;1; 483.320 ;;;;
2024;2481NB;1; 664.900 ;;;;
2024;2493ZH;1; 354.008 ;;;;
2024;2493ZJ;1; 109.600 ;;;;
2024;2495AG;1; 595.000 ;;;;
2024;2497NX;1; 601.400 ;;;;
2024;2500;1; 630.200 ;;;;
2024;2514BP;1; 134.800 ;;;;
2024;2514CV;1; 215.300 ;;;;
2024;2514HA;1; 642.600 ;;;;
2024;2520;1; 513.160 ;;;;
2024;2530;1; 1.021.900 ;;;;
2024;2533SX;1; 122.700 ;;;;
2024;2544LG;1; 1.588.700 ;;;;
2024;2544NS;1; 897.100 ;;;;
2024;2550;1; 647.100 ;;;;
2024;2552RD;1; 250.800 ;;;;
2024;2553EG;1; 390.200 ;;;;
2024;2553EP;1; 292.480 ;;;;
2024;2555VW;1; 40.100 ;;;;
2024;2560;1; 158.400 ;;;;
2024;2564CW;1; 110.500 ;;;;
2024;2565AB;1; 687.600 ;;;;
2024;2580;1; 137.320 ;;;;
2024;2585HD;1; 8.000 ;;;;
2024;2597JH;1; 279.200 ;;;;
2024;2623NB;1; 13.600 ;;;;
2024;2629HD;2; 805.100 ;;;;
2024;2629JE;1; 3.472.700 ;;;;
2024;2630;1; 292.400 ;;;;
2024;2631NC;1; 55.380 ;;;;
2024;2631PB;1; 1.812.000 ;;;;
2024;2631PR;1; 640.000 ;;;;
2024;2635AC;2; 1.639.000 ;;;;
2024;2636AK;1; 137.000 ;;;;
2024;2636AW;1; 194.400 ;;;;
2024;2636AX;1; 119.742 ;;;;
2024;2636EC;2; 832.900 ;;;;
2024;2636ED;1; 36.640 ;;;;
2024;2636EG;1; 94.000 ;;;;
2024;2636KE;1; 490.000 ;;;;
2024;2641AZ;1; 401.800 ;;;;
2024;2641NE;1; 40.500 ;;;;
2024;2641NR;1; 28.305 ;;;;
2024;2641NX;3; 1.234.000 ;;;;
2024;2641NZ;1; 275.200 ;;;;
2024;2641PC;1; 633.600 ;;;;
2024;2641PX;1; 175.700 ;;;;
2024;2641TX;1; 96.300 ;;;;
2024;2642KN;1; 396.400 ;;;;
2024;2645BD;1; 700.200 ;;;;
2024;2645BE;1; 150.500 ;;;;
2024;2645BH;1; 68.000 ;;;;
2024;2645CA;1; 30.500 ;;;;
2024;2651KV;1; 201.000 ;;;;
2024;2651LN;1; 207.800 ;;;;
2024;2651LV;1; 240.500 ;;;;
2024;2661CS;1; 1.654.900 ;;;;
2024;2661CT;1; 158.600 ;;;;
2024;2661DD;1; 47.000 ;;;;
2024;2661ET;1; 281.100 ;;;;
2024;2661GT;1; 1.507.800 ;;;;
2024;2661JK;1; 113.000 ;;;;
2024;2665HA;1; 527.200 ;;;;
2024;2665HS;1; 54.000 ;;;;
2024;2665KB;1; 201.000 ;;;;
2024;2665KG;1; 96.900 ;;;;
2024;2665KM;1; 820.600 ;;;;
2024;2665KR;1; 636.100 ;;;;
2024;2665LC;1; 229.000 ;;;;
2024;2671MR;1; 991.600 ;;;;
2024;2675EE;1; 192.600 ;;;;
2024;2676BM;1; 161.700 ;;;;
2024;2681GG;1; 392.300 ;;;;
2024;2681LP;1; 159.500 ;;;;
2024;2681MR;1; 22.000 ;;;;
2024;2681PJ;1; 720.200 ;;;;
2024;2681RH;1; 123.400 ;;;;
2024;2685BA;1; 59.700 ;;;;
2024;2685SM;1; 1.005.800 ;;;;
2024;2691KE;1; 420.900 ;;;;
2024;2691NE;1; 186.000 ;;;;
2024;2716NH;1; 789.600 ;;;;
2024;2716NK;1; 229.000 ;;;;
2024;2716RB;1; 586.000 ;;;;
2024;2717PA;1; 323.300 ;;;;
2024;2719JW;1; 559.000 ;;;;
2024;2719RB;1; 246.000 ;;;;
2024;2728PD;1; 231.000 ;;;;
2024;2741GB;1; 226.000 ;;;;
2024;2742AG;1; 45.800 ;;;;
2024;2742JA;1; 1.319.000 ;;;;
2024;2742KC;1; 764.340 ;;;;
2024;2742WJ;1; 2.244.020 ;;;;
2024;2761DB;1; 222.400 ;;;;
2024;2761GD;1; 87.700 ;;;;
2024;2761JE;1; 57.660 ;;;;
2024;2761JK;1; 42.400 ;;;;
2024;2761KA;1; 58.600 ;;;;
2024;2771AB;1; 299.500 ;;;;
2024;2771RW;1; 612.040 ;;;;
2024;2803HG;1; 202.600 ;;;;
2024;2804AA;1; 322.640 ;;;;
2024;2805HL;1; 737.900 ;;;;
2024;2809NE;2; 488.280 ;;;;
2024;2811NS;2; 769.600 ;;;;
2024;2821LB;1; 225.000 ;;;;
2024;2821XZ;1; 231.100 ;;;;
2024;2825AH;1; 40.450 ;;;;
2024;2831KA;1; 1.058.840 ;;;;
2024;2841BT;1; 400.500 ;;;;
2024;2841LD;1; 775.200 ;;;;
2024;2841LL;1; 128.900 ;;;;
2024;2841LM;1; 278.000 ;;;;
2024;2841LR;1; 348.320 ;;;;
2024;2841LS;1; 54.400 ;;;;
2024;2851AK;1; 24.000 ;;;;
2024;2851EJ;1; 504.300 ;;;;
2024;2851EK;1; 197.000 ;;;;
2024;2851LB;1; 47.560 ;;;;
2024;2861BC;2; 259.200 ;;;;
2024;2861ET;1; 56.100 ;;;;
2024;2861GC;1; 50.400 ;;;;
2024;2861LJ;1; 24.900 ;;;;
2024;2861LM;1; 303.300 ;;;;
2024;2871AW;1; 970.000 ;;;;
2024;2907LE;1; 2.424.700 ;;;;
2024;2909LK;1; 16.000 ;;;;
2024;2910;1; 561.400 ;;;;
2024;2911BB;1; 73.000 ;;;;
2024;2911BE;1; 715.700 ;;;;
2024;2911LB;1; 1.032.200 ;;;;
2024;2911LZ;1; 208.560 ;;;;
2024;2912EE;1; 2.352.000 ;;;;
2024;2920;1; 1.834.260 ;;;;
2024;2921AS;1; 593.900 ;;;;
2024;2931XD;1; 136.400 ;;;;
2024;2935BG;1; 19.175 ;;;;
2024;2941AR;1; 8.000 ;;;;
2024;2941LD;1; 1.608.100 ;;;;
2024;2950;1; 185.750 ;;;;
2024;2952AV;1; 350.300 ;;;;
2024;2954LD;1; 382.700 ;;;;
2024;2960;1; 3.900.920 ;;;;
2024;2964LA;1; 249.000 ;;;;
2024;2967GE;1; 423.000 ;;;;
2024;2969LC;1; 373.800 ;;;;
2024;2970;1; 583.800 ;;;;
2024;2971AB;1; 357.300 ;;;;
2024;2971VH;1; 18.955 ;;;;
2024;2971XB;1; 95.000 ;;;;
2024;2980;1; 423.200 ;;;;
2024;2982CM;1; 69.800 ;;;;
2024;2982TN;1; 640.000 ;;;;
2024;2983GA;1; 298.000 ;;;;
2024;2986AA;1; 96.000 ;;;;
2024;2986XA;1; 78.500 ;;;;
2024;2988AD;1; 242.000 ;;;;
2024;2988CC;1; 129.700 ;;;;
2024;2989AL;1; 53.000 ;;;;
2024;2990;1; 4.868.200 ;;;;
2024;2991LJ;1; 530.150 ;;;;
2024;2992XE;1; 751.700 ;;;;
2024;2993AT;1; 52.800 ;;;;
2024;2995XC;1; 211.700 ;;;;
2024;2995XK;2; 372.800 ;;;;
2024;2995XL;1; 257.700 ;;;;
2024;3011WD;1; 184.200 ;;;;
2024;3041JE;1; 1.016.100 ;;;;
2024;3045PX;1; 316.220 ;;;;
2024;3046NJ;2; 172.600 ;;;;
2024;3046NR;1; 411.900 ;;;;
2024;3046NW;1; 113.100 ;;;;
2024;3053PM;1; 286.100 ;;;;
2024;3056KA;1; 8.026.628 ;;;;
2024;3056LM;1; 100.860 ;;;;
2024;3062CG;1; 1.369.260 ;;;;
2024;3067GA;1; 12.400 ;;;;
2024;3075ZJ;1; 162.800 ;;;;
2024;3080;1; 138.620 ;;;;
2024;3085BW;1; 636.900 ;;;;
2024;3088NA;1; 211.000 ;;;;
2024;3117ZA;1; 15.000 ;;;;
2024;3124KA;2; 1.014.100 ;;;;
2024;3124KC;1; 399.700 ;;;;
2024;3124KD;1; 739.700 ;;;;
2024;3128;1; 26.000 ;;;;
2024;3132KB;1; 27.000 ;;;;
2024;3138HA;1; 1.643.000 ;;;;
2024;3141EM;1; 1.391.600 ;;;;
2024;3141EN;1; 471.500 ;;;;
2024;3151XV;1; 887.600 ;;;;
2024;3155CC;1; 457.000 ;;;;
2024;3161DS;1; 86.200 ;;;;
2024;3161EP;1; 110.300 ;;;;
2024;3161HM;1; 589.800 ;;;;
2024;3161PH;1; 42.400 ;;;;
2024;3181LK;1; 261.700 ;;;;
2024;3192KA;1; 965.100 ;;;;
2024;3195GR;1; 217.000 ;;;;
